京都・大阪・岡山 方面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,京都・大阪・岡山 方面
,,,,,"スーパー
はくと
2号",,"スーパー
いなば
2号",,"スーパー
はくと
4号",,"スーパー
いなば
4号","スーパー
はくと
6号",,,"スーパー
はくと
8号",,"スーパー
いなば
6号",,"スーパー
はくと
10号",,"スーパー
はくと
12号","スーパー
いなば
8号",,,"スーパー
はくと
14号",,,"スーパー
はくと
16号",,"スーパー
いなば
10号",,"スーパー
宮本武蔵,発,,,,715,821,↓,836,932,↓,↓,,1120,↓,↓,1247,↓,1410,↓,↓,1552,1646,↓,1705,,1814,↓,1901,↓,2007,2035,2142,↓,↓,2209,↓
大原,着,,,,718,824,751,840,936,925,1015,,1123,1112,1208,1250,1238,1413,1439,1503,1555,1649,1638,1709,,1817,1827,1905,1853,2010,2038,2145,2057,2120,2212,2226
大原,発,528,631,,727,,751,,938,925,1016,,1136,1113,1209,,1239,1417,1439,1505,1615,,1639,1710,1742,1834,1828,,1854,2011,,,2057,2124,,2226
西粟倉,発,533,636,,733,,↓,,943,↓,↓,,1141,↓,↓,,↓,1422,↓,↓,1620,,↓,1716,1747,1839,↓,,↓,2016,,,↓,↓,,↓
あわくら,発,538,641,,744,,↓,,948,↓,↓,,1147,↓,↓,,↓,1433,↓,↓,1625,,↓,1735,1752,1844,↓,,↓,2021,,,↓,↓,,↓
山郷,発,545,648,,751,,↓,,955,↓,↓,,1153,↓,↓,,↓,1439,↓,↓,1632,,↓,1741,1759,1850,↓,,↓,2027,,,↓,↓,,↓
恋山形,発,548,651,,754,,↓,,1001,↓,↓,,1212,↓,↓,,↓,1443,↓,↓,1636,,↓,1745,1807,1854,↓,,↓,2031,,,↓,↓,,↓
智頭 ,着,554,657,,800,,808,,1007,942,1031,,1218,1128,1224,,1300,1448,1500,1521,1642,,1654,1751,1813,1900,1844,,1908,2037,,,2117,2140,,2241
,,,,那岐6:50,,,,,,,,,,,,,,,,,,,,,↓,,,,,,,,,,,
智頭,発,616,,704,827,,809,,1009,944,1035,1155,1333,1130,1226,,1301,1556,1501,1525,1724,,1658,,1818,1938,1847,,1910,2153,,,2119,2142,,2243
郡家,着,644,,736,900,,827,,1039,1002,1054,1224,1402,1148,1249,,1320,1628,1520,1543,1756,,1723,,1849,2009,1908,,1928,2223,,,2138,2201,,2302
鳥取,着,701,米子9:16　　,759,918,,836,,1056,1012,1104,1245,1420,1158,1259,,1329,1649,1530,1552,1812,,1733,,1907,2038,1918,,1938,2242,,,2148,2210,,2311
倉吉,着,753,,,,,,,,1043,,,,1230,,,1405,,1605,,,,,,,,,,,,,,2219,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
